ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.200767570198842,204.8904571533203,20791.318359375,7.3002119064331055,368.5164489746094,564.3086547851562,10.379782676696777,86.990966796875,2.9631354808807373,False
3.7160801887512207,129.4229278564453,18630.05859375,6.6352458000183105,344.638955918942,592.8853759765625,15.180012702941895,56.32907485961914,4.5006561279296875,False
8.09912395477295,224.2362518310547,19909.541015625,9.275883674621582,332.0562597472119,418.606201171875,16.868637084960938,66.42008972167969,3.055933713912964,False
8.316765785217285,214.37339782714844,22018.41796875,8.059332847595215,356.8861389160156,363.2665100097656,18.436525344848633,100.3416748046875,4.628770351409912,False
9.092223167419434,181.1015167236328,17978.986328125,6.546599864959717,310.1357421875,398.41082763671875,11.558279037475586,31.99799346923828,4.075075626373291,False
5.5840864181518555,188.31332397460938,28748.6875,7.5448689460754395,326.6783752441406,280.4679260253906,8.399734497070312,54.91786193847656,2.5597081184387207,False
10.223861694335938,248.0717315673828,28749.716796875,7.513408660888672,393.66339111328125,283.6516418457031,13.789695739746094,84.60355377197266,2.6729886531829834,False
8.635848999023438,203.3615264892578,13672.091796875,4.563008785247803,303.3097839355469,474.6076354980469,12.363816261291504,62.798309326171875,4.401424884796143,False
6.911901712352931,118.98857879638672,14285.583984375,7.804173469543457,268.6469421386719,389.3755798339844,12.706048965454102,53.9288444519043,3.595017194747925,False
11.18028450012207,227.23147583007812,25484.5078125,9.077199935913086,404.0416259765625,563.885498046875,17.927806854248047,71.97660064697266,4.3705620765686035,False
7.360640048980713,165.5207977294922,32452.615234375,7.550701141357422,326.6243591308594,425.3834228515625,15.586810111999512,78.7400131225586,3.6622917652130127,False
7.974521636962891,218.69329833984375,18767.65625,8.110384941101074,333.4272160489079,364.0982360839844,14.525745391845703,76.48590850830078,4.011718273162842,False
7.119824409484863,156.70498657226562,18730.814453125,3.6060361862182617,282.34405517578125,347.71502685546875,15.929535865783691,79.50077819824219,3.445756196975708,False
6.831747242841074,150.1749267578125,27331.361328125,6.838223457336426,299.415771484375,379.7618408203125,19.370807647705078,76.50999450683594,4.413974285125732,False
7.496232032775879,205.34498596191406,28388.005859375,5.0725579261779785,327.1056254595056,444.6453552246094,13.228311538696289,70.30020904541016,4.7773823738098145,False
6.347271919250488,186.73287963867188,41065.234375,9.629596710205078,364.4877014160156,516.7432861328125,11.53978157043457,75.07161712646484,4.376348495483398,False
7.051785945892334,211.04940795898438,30980.6015625,10.094796180725098,326.25895949636555,315.1412658691406,20.397022247314453,56.65160369873047,4.268428802490234,False
9.181559562683105,273.8138122558594,24041.326171875,6.904989719390869,398.35052490234375,477.9746398925781,13.387340545654297,71.45735931396484,4.503660678863525,False
8.975464820861816,279.357177734375,19460.3984375,6.204320907592773,325.16299174502916,431.4440002441406,12.888758659362793,63.82123565673828,2.4360857009887695,False
7.3710503578186035,214.49661254882812,25630.3203125,4.432669162750244,335.7544250488281,469.91455078125,12.509163856506348,62.79727554321289,2.5602991580963135,False
7.221255439029149,227.43504333496094,22305.568359375,10.333917617797852,329.9109316638945,554.820068359375,16.331693649291992,45.382816314697266,4.1334228515625,False
6.66021203994751,168.28375244140625,30944.36328125,5.858768939971924,310.93084716796875,523.6713256835938,17.884235382080078,77.04232025146484,3.7497012615203857,False
