deney_id,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,ph_ideal,Turbidity_safe,Sulfate_safe,Chemistry_reactivity,solids_to_cond_ratio,hardness_sulfate_ratio,ph_dev_from_neutral,pollution_index,safety_violations
0,7.036752223968506,204.8904571533203,20791.318359375,7.3002119064331055,368.5164489746094,564.3086547851562,10.379782676696777,86.990966796875,2.9631354808807373,False,1,1,1,75.7746130826099,36.843876389680396,0.5559872759206195,0.03675222396850586,30.756702333151452,0
2,8.09912395477295,224.2362518310547,19909.541015625,9.275883674621582,335.3492946703549,418.606201171875,16.868637084960938,66.42008972167969,3.055933713912964,False,1,1,1,156.47151534950535,47.56150509076874,0.6686647466570997,1.0991239547729492,51.54943677569463,0
3,8.316765785217285,214.37339782714844,22018.41796875,8.059332847595215,356.8861389160157,363.2665100097656,18.436525344848633,100.3416748046875,4.628770351409912,False,1,1,1,148.58609430726028,60.61229786237599,0.6006772856956448,1.3167657852172852,85.33844189925276,0
4,9.092223167419434,181.1015167236328,17978.986328125,6.546599864959717,310.1357421875,398.41082763671875,11.558279037475586,31.99799346923828,4.075075626373291,False,0,1,1,75.6674279859044,45.126751172013705,0.5839427434655396,2.0922231674194336,47.1008611884381,1
5,5.5840864181518555,188.31332397460938,28748.6875,7.5448689460754395,326.6783752441407,280.4679260253906,8.399734497070312,54.91786193847656,2.5597081184387207,False,0,1,1,63.3748959622244,102.5025848941273,0.5764486959304426,1.4159135818481445,21.500868584880664,1
6,10.223861694335938,248.0717315673828,28749.716796875,7.513408660888672,393.66339111328125,283.6516418457031,13.789695739746094,84.60355377197266,2.6729886531829834,False,0,1,1,103.60761940202792,101.35572108254586,0.6301620535139759,3.2238616943359375,36.859700243187035,1
7,8.635848999023438,203.3615264892578,13672.091796875,4.563008785247803,303.3097839355469,474.6076354980469,12.363816261291504,62.798309326171875,4.401424884796143,False,0,1,1,56.416202219462775,28.80714667331583,0.6704746651430056,1.6358489990234375,54.41840856349563,1
8,7.036752223968506,118.98857879638672,14285.583984375,7.804173469543457,268.6469421386719,389.3755798339844,12.706048965454102,53.9288444519043,3.595017194747925,False,1,1,1,99.16021023891699,36.68844346575975,0.44291804479966274,0.03675222396850586,45.678464508116576,0
10,7.360640048980713,165.5207977294922,32452.615234375,7.550701141357422,326.6243591308594,425.3834228515625,15.586810111999512,78.7400131225586,3.6622917652130127,False,1,1,1,117.69134490279612,76.29026759091425,0.5067619502206683,0.3606400489807129,57.08344631911473,0
11,7.974521636962891,218.69329833984375,18767.65625,8.110384941101074,317.91607820553463,364.0982360839844,14.525745391845703,76.48590850830078,4.011718273162842,False,1,1,0,117.80938668429371,51.54558396192118,0.6878963117762196,0.9745216369628906,58.27319821977835,1
12,7.119824409484863,156.70498657226562,18730.814453125,3.6060361862182617,282.34405517578125,347.71502685546875,15.929535865783691,79.50077819824219,3.445756196975708,False,1,1,1,57.44248276167764,53.8682914242943,0.5550142924726721,0.11982440948486328,54.889296924470955,0
13,7.036752223968506,150.1749267578125,27331.361328125,6.838223457336426,299.415771484375,379.7618408203125,19.370807647705078,76.50999450683594,4.413974285125732,False,1,1,1,132.4619112440887,71.96974081734379,0.5015598393890535,0.03675222396850586,85.50224683908709,0
14,7.496232032775879,205.34498596191406,28388.005859375,5.0725579261779785,328.1718986812602,444.6453552246094,13.228311538696289,70.30020904541016,4.7773823738098145,False,1,1,1,67.10137654556547,63.844152338420024,0.6257238543621717,0.4962320327758789,63.19670238023264,0
15,6.347271919250488,186.73287963867188,41065.234375,9.629596710205078,364.4877014160156,516.7432861328125,11.53978157043457,75.07161712646484,4.376348495483398,False,0,1,1,111.12344264714193,79.46931367575847,0.5123159942047658,0.6527280807495117,50.50210571397838,1
16,7.051785945892334,211.04940795898438,30980.6015625,10.094796180725098,344.6522455402528,315.1412658691406,20.397022247314453,56.65160369873047,4.268428802490234,False,1,1,1,205.9037822803548,98.30702868680285,0.6123546562588136,0.051785945892333984,87.0632372454711,0
17,9.181559562683105,273.8138122558594,24041.326171875,6.904989719390869,398.3505249023438,477.9746398925781,13.387340545654297,71.45735931396484,4.503660678863525,False,0,1,1,92.43944883772747,50.29832990089142,0.6873690241417811,2.1815595626831055,60.29203921001863,1
19,7.3710503578186035,214.49661254882812,25630.3203125,4.432669162750244,335.7544250488281,469.91455078125,12.509163856506348,62.79727554321289,2.5602991580963135,False,1,1,1,55.44898487852561,54.54251249582749,0.638849694620658,0.3710503578186035,32.027201690302036,0
20,7.036752223968506,227.43504333496094,22305.568359375,10.333917617797852,321.6255284112613,554.820068359375,16.331693649291992,45.382816314697266,4.1334228515625,False,1,1,1,168.7703767308958,40.20324712682114,0.7071423831039875,0.03675222396850586,67.50579573470168,0
21,6.66021203994751,168.28375244140625,30944.36328125,5.858768939971924,310.93084716796875,523.6713256835938,17.884235382080078,77.04232025146484,3.7497012615203857,False,1,1,1,104.77960277167767,59.09119270902305,0.5412256565501576,0.33978796005249023,67.06053997351319,0
22,7.036752223968506,215.9778594970703,17107.224609375,5.607060432434082,326.9439697265625,436.2561950683594,14.189062118530273,59.85547637939453,5.4592509269714355,False,1,1,1,79.5589287781604,39.21371149235065,0.6605959394727667,0.03675222396850586,77.46165052344168,0
23,3.902475595474243,196.9032440185547,21167.5,6.996311664581299,317.44053116267577,444.4788818359375,16.609033584594727,90.18167877197266,4.528522491455078,False,0,1,1,116.20197540532263,47.62318485176084,0.6202838770370053,3.097524404525757,75.21438214916998,1
24,5.400301933288574,140.7390594482422,17266.59375,10.056852340698242,328.35824584960943,472.87408447265625,11.256381034851074,56.931907653808594,4.824786186218262,False,0,1,1,113.20376195813333,36.514146747418735,0.4286143588551371,1.5996980667114258,54.309631723758685,1
25,6.514415264129639,198.76734924316406,21218.703125,8.670936584472656,323.5963439941406,413.2904357910156,14.899999618530273,79.84783935546875,5.20088529586792,False,1,0,1,129.19695180094277,51.3409003357352,0.6142447290211611,0.48558473587036133,77.49318892445172,1
27,7.036752223968506,145.76817321777344,13224.935546875,7.906444549560547,304.0019836425781,298.99066162109375,12.729524612426758,49.53684997558594,4.004870891571045,False,1,1,1,100.64528049041837,44.231934973951866,0.4794974394300626,0.03675222396850586,50.98010258384511,0
28,7.036752223968506,266.4210205078125,26362.96484375,7.700063705444336,395.3894958496094,364.4801025390625,10.348950386047363,53.00838088989258,3.9915642738342285,False,1,1,1,79.68757725704745,72.33032636834893,0.6738191647239142,0.03675222396850586,41.3085006326296,0
29,7.036752223968506,148.15306091308594,15193.4130859375,9.046833038330078,307.01177978515625,563.8047485351562,16.568655014038086,52.676185607910156,6.038185119628906,False,1,0,1,149.89385558169306,26.94800478084676,0.48256474241541225,0.03675222396850586,100.04460615802964,1
30,7.181448459625244,209.62559509277344,15196.23046875,5.994678497314453,338.33642578125,342.1112976074219,7.922598361968994,71.53795623779297,5.088860034942627,False,1,1,1,47.49343004335424,44.418966957849335,0.6195773747658155,0.18144845962524414,40.316994177125935,0
31,9.82548999786377,190.75662231445312,19677.892578125,6.757540702819824,346.0932623942162,452.83624267578125,16.899038314819336,47.08197021484375,2.8574724197387695,False,0,1,1,114.1959392509034,43.454765056778115,0.5511711509309921,2.8254899978637695,48.288535904704986,1
33,7.414148330688477,235.04454040527344,32555.853515625,6.845952033996582,387.1753234863281,411.9833679199219,10.2448148727417,44.489295959472656,3.1606245040893555,False,1,1,1,70.13551121596447,79.02225179859859,0.6070752073808188,0.41414833068847656,32.38001292664649,0
34,7.036752223968506,232.28045654296875,14787.2060546875,5.474915027618408,305.88147381499783,383.9817199707031,12.166936874389648,86.08072662353516,5.0291666984558105,False,1,0,1,66.61294553368043,38.51018224853398,0.7593805956488728,0.03675222396850586,61.18955375089445,1
35,5.115817070007324,191.95274353027344,19620.544921875,6.060712814331055,323.83639526367193,441.7483825683594,10.966485977172852,49.23823165893555,3.9020888805389404,False,0,0,1,66.46472209003332,44.415657536500696,0.5927460462905564,1.8841829299926758,42.7922029901124,2
38,7.036752223968506,143.4537353515625,19942.2734375,5.890754699707031,345.76223812665603,427.13067626953125,22.469892501831055,53.12409591674805,2.9075639247894287,False,1,1,1,132.36462485707307,46.68892799969943,0.4148912724359528,0.03675222396850586,65.33264883222046,0
39,9.267187118530273,198.61439514160156,24683.72265625,6.110612392425537,328.0775451660156,396.876953125,16.471969604492188,30.38331413269043,4.324004650115967,False,0,0,1,100.65382159286673,62.19490045893579,0.6053885657907768,2.2671871185302734,71.22487316639308,2
40,7.036752223968506,233.85899353027344,11703.923828125,4.599388122558594,309.039306640625,349.3996276855469,18.338891983032227,42.67746353149414,3.5100040435791016,False,1,1,1,84.34768196764344,33.497241746236405,0.756728958900668,0.03675222396850586,64.36958501520348,0
41,5.331940650939941,194.8740692138672,16658.876953125,7.993829727172852,316.6751708984375,335.1203918457031,10.180513381958008,59.57271194458008,4.434820175170898,False,0,0,1,81.38129051057695,49.710125998793266,0.6153752693828686,1.6680593490600586,45.14874613990469,2
42,7.145771503448486,238.68992614746094,28780.33984375,6.814028739929199,385.97564697265625,332.03271484375,11.09316349029541,66.13804626464844,5.182590484619141,False,1,1,1,75.58913483960623,86.67922909528478,0.6184066984567133,0.14577150344848633,57.49132354912945,0
44,4.758439540863037,183.34945678710938,21568.4296875,4.731348991394043,341.15897183440524,403.9441833496094,18.668230056762695,66.91239929199219,4.542801380157471,False,0,1,1,88.32591145017614,53.394579061033724,0.5374311432110718,2.241560459136963,84.80606126695875,1
45,5.702926158905029,216.85047912597656,35606.44140625,7.184350967407227,331.65865240160633,504.6382751464844,16.140790939331055,77.53618621826172,4.137739181518555,False,0,1,1,115.96110699970086,70.5583446387533,0.6538363371553335,1.2970738410949707,66.78638309036978,1
46,6.953864097595215,209.63829040527344,10575.1865234375,4.462707042694092,315.6065979003906,391.184326171875,13.285333633422852,87.3908920288086,3.1957104206085205,False,1,1,1,59.28855197041685,27.03376845358907,0.6642392495457229,0.046135902404785156,42.456079133590265,0
48,7.036752223968506,129.8905792236328,34415.8515625,6.321928977966309,304.53521728515625,470.32916259765625,18.599409103393555,72.40363311767578,4.405585765838623,False,1,1,1,117.58414338379407,73.17396884183242,0.42652071558438853,0.03675222396850586,81.94129199891995,0
49,8.757257461547852,200.19140625,21536.224609375,4.915101051330566,317.8829040527344,404.7178039550781,13.768322944641113,47.930870056152344,3.6261353492736816,False,0,1,1,67.6726985802643,53.212940833590025,0.6297646179393942,1.7572574615478516,49.92580252977905,1
50,7.036752223968506,168.388427734375,27492.306640625,7.046224594116211,299.8204650878906,383.7950134277344,16.182065963745117,75.72943115234375,3.0480573177337646,False,1,1,1,114.02247117735169,71.63278731386853,0.5616308650691408,0.03675222396850586,49.32386457684379,0
52,6.6524882316589355,145.0101776123047,19871.7890625,4.961066246032715,288.05218505859375,545.9749755859375,10.942024230957031,71.7274169921875,3.7420904636383057,False,1,0,1,54.284107075473,36.39688614808181,0.5034163413111804,0.34751176834106445,40.94604452756357,1
53,9.147196769714355,211.71414184570312,11920.611328125,7.230794906616211,339.7519226074219,527.7089233398438,18.275312423706055,47.634883880615234,3.7945315837860107,False,0,1,1,132.1450359901537,22.589368453522958,0.6231433205668485,2.1471967697143555,69.3462501953095,1
55,7.484254837036133,260.0921630859375,30616.615234375,9.379133224487305,319.50582170768047,404.6707763671875,15.934483528137207,66.62102508544922,4.781188011169434,False,1,1,1,149.45164387379737,75.6580829324236,0.8140451428451706,0.4842548370361328,76.18576160890643,0
56,8.520806312561035,238.33511352539062,28779.650390625,8.282808303833008,381.6493225097656,481.3188171386719,6.016336441040039,39.09117126464844,3.9406044483184814,False,0,1,1,49.83216143249956,59.79332057267154,0.6244871897939893,1.5208063125610352,23.70800214214296,1
57,4.999413967132568,190.28704833984375,24323.865234375,7.230164051055908,324.8930358886719,405.3304748535156,8.236557960510254,99.42738342285156,4.460683822631836,False,0,1,1,59.55166527051961,60.009958992487704,0.5856913714191039,2.0005860328674316,36.74068084861756,1
58,7.036752223968506,157.8011932373047,16963.625,8.33561897277832,300.0442199707031,360.9960021972656,12.823861122131348,71.71700286865234,4.405385494232178,False,1,1,1,106.89482007391234,46.991171231140356,0.5259264541966056,0.03675222396850586,56.494051767485416,0
59,7.036752223968506,155.05572509765625,20557.240234375,8.187318801879883,351.5443597892111,290.18096923828125,16.622255325317383,59.6220588684082,4.089907646179199,False,1,1,1,136.09170355461902,70.84282686591916,0.4410701532789739,0.03675222396850586,67.98348915175848,0
60,3.906078338623047,233.40283203125,32144.80078125,6.994839668273926,348.35943603515625,269.4490661621094,9.654125213623047,63.743064880371094,3.9028797149658203,False,0,1,1,67.52905800673398,119.29824482157377,0.6700057676568558,3.093921661376953,37.678889461989456,1
62,7.036752223968506,229.48568725585938,35729.69140625,8.810843467712402,384.94378662109375,296.3975524902344,16.927091598510742,66.62102508544922,3.855602264404297,False,1,1,1,149.14195443810786,120.54651256568894,0.5961537622780024,0.03675222396850586,65.26413269699697,0
